序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
1,28113552,擁綠資訊有限公司,新竹市東區新安路5號4樓之1R500室,null,3000000,1020509
2,29186292,務實能源科技股份有限公司,高雄市楠梓區開發路39號8樓,林明彥,42000000,1020521
3,53668946,台中商銀綜合證券股份有限公司,臺中市中區民族路45號1、2樓,莊銘山,850000000,1020502
4,53670041,美商亞特思軟體股份有限公司,桃園縣龍潭鄉三和村渴望路548號,陳傳中,0,1020430
5,53670078,日商伊勢灣海運股份有限公司,臺北市信義區基隆路2段51號14樓,西賀徹,0,1020430
6,53670133,韓商現代樂鐵股份有限公司,臺北市松山區民生東路3段132號4樓,金炯大,1192987,1020430
7,53670149,萬騰開發建設有限公司,金門縣金城鎮南門里民族路210巷8弄9號,翁明宣,1000000,1020501
8,53670160,萬隆營造有限公司,金門縣金湖鎮新湖里塔后208之36號,蔡怡璋,3000000,1020501
9,53670176,勝騏營造有限公司,金門縣金寧鄉安美村西浦頭22號,莊大德,3000000,1020502
10,53670181,信譽建設有限公司,金門縣金城鎮北門里中興路190-1號,周浯斌,3600000,1020501
11,53670197,日翔租賃興業股份有限公司,臺北市大同區市民大道1段209號14樓,林榮顯,500000000,1020501
12,53670210,金暐工程顧問有限公司,金門縣金湖鎮新湖里塔后126-10號,李誠仁,800000,1020502
13,53670231,韓商樂星產電股份有限公司,臺北市松山區敦化南路1段25號4樓,全石周,1500000,1020503
14,53670247,日商掛川酵母股份有限公司,臺北市松山區民生東路3段156號11樓,西川久敏,200000,1020502
15,53670252,英屬維京群島商睿見股份有限公司,臺北市信義區基隆路2段189號3樓之1,唐宜君,10000000,1020503
16,53670268,法商巴黎工程顧問股份有限公司,臺北市松山區東光里南京東路5段171號14樓,讓伊夫庫洛,2800000,1020503
17,53670274,香港商松井新材料有限公司,新北市新莊區五工五路1號(4樓),曾瀅綜,10100000,1020506
18,53670289,五度西酒業有限公司,金門縣金沙鎮汶沙里博愛街49號,林建進,200000,1020506
