"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
1,"28113574","台灣艾特維股份有限公司","新竹市東區力行一路1號1B11室","李樁源",15000000,"1020614"
2,"29186315","京上國際股份有限公司","高雄市前鎮區復興四路12號10樓之6","周金玉",6000000,"1020621"
3,"29186321","瑞展動能股份有限公司","屏東縣屏東市前進里屏加路1號103室","劉金錫",720000000,"1020628"
4,"53671674","大陸商廈門金宏利進出口有限公司","彰化縣花壇鄉花壇村平和街15號","鄭元平",0,"1020613"
5,"53671766","香港商穆得設計發展有限公司","臺北市松山區光復北路177巷11號1樓","余幸育",1000000,"1020531"
6,"53671935","日商全球開放科技股份有限公司","臺北市信義區忠孝東路5段1-1號8樓","渡邊誠",500000,"1020603"
7,"53671956","美商昱方科技股份有限公司","臺北市內湖區堤頂大道2段473號8樓","李佩如",1500000,"1020531"
8,"53671962","香港商今時財經服務有限公司","臺北市文山區汀州路4段189號6樓","周其舜",500000,"1020531"
9,"53671978","貝里斯商新視界有限公司","臺北市大同區酒泉街10巷27號5樓","林瑞騰",0,"1020531"
10,"53671999","香港商海油工程技術有限公司","臺北市中山區長安東路1段16號8樓之7","趙華",2000000,"1020531"
11,"53672006","英屬維京群島商禹聖國際有限公司","桃園縣桃園市大豐里樹仁一街54號","蘇郁瑩",300000,"1020531"
12,"53672028","日商愛薇化粧品股份有限公司","臺北市信義區松智路1號11樓","原田純也",5000000,"1020603"
13,"53672060","印尼商佳合格林股份有限公司","臺北市信義區忠孝東路5段1-6號10樓","陳彩能",0,"1020604"
14,"53672076","天玓投資股份有限公司","金門縣金湖鎮新湖里林兜109號","陳雅惠",25000000,"1020604"
15,"53672081","日商璨和股份有限公司","臺北市中山區南京東路2段20號4樓","高橋滿",500000,"1020604"
16,"53672097","香港商協弘企業有限公司","臺北市松山區南京東路5段223號10樓之1","劉家芬",50000,"1020604"
17,"53672104","新加坡商優達斯國際有限公司","臺北市信義區基隆路1段163號3樓之2","黃文貴",30000000,"1020605"
18,"53672131","英屬維京群島商品升健身股份有限公司","臺北市信義區信義路3段109號地下1層","丘伊森",5308887,"1020605"
19,"53672147","英屬維京群島商宏富發展有限公司","臺北市信義區基隆路1段420號2樓之3","呂旭明",5000000,"1020605"
20,"53672189","大陸商佛山市南海根源精密金屬製品有限公司","臺北市內湖區蘆洲里安美街175巷6號","孔汝文",0,"1020605"
21,"53672218","英屬維京群島商崇滙國際股份有限公司","高雄市前鎮區民權二路333號3樓之3","吳思賢",10000000,"1020605"
22,"53672245","金仁橋興業有限公司","金門縣金城鎮北門里中興路199號","蔡有仁",500000,"1020605"
23,"53672266","馬來西亞商伊思帖國際有限公司","臺北市中正區廈門街113巷18之1號1樓","Lim  Choo  Kiang",100000,"1020607"
24,"53672287","香港商英力真空科技股份有限公司","新北市新店區建國路257號5樓","陳伯瀛",0,"1020606"
25,"53672293","新加坡商鋇爾富精密科技股份有限公司","臺中市神岡區庄前路40號","康之政",1000000,"1020607"
26,"53672300","湧鑫房地產開發有限公司","金門縣金城鎮古城里金門城28-16號","張良志",500000,"1020606"
27,"53672316","丹麥商凱得風能科技顧問股份有限公司","臺北市松山區敦化北路205號12樓","胡承祜",500000,"1020606"
28,"53672322","日商先進材料科技股份有限公司","新竹縣竹北市高鐵七路65號13樓之9","森木泰次",0,"1020605"
29,"53672358","新加坡商原柚本居有限公司","新北市板橋區民權路3號3樓","田宇翔",6000000,"1020607"
30,"53672364","香港商創海企業有限公司","臺北市大安區信義路4段6號6樓","曾慶澤",500000,"1020606"
31,"53672370","香港商冠英集團有限公司","新北市新店區明德里明德路72號4樓","張健寧",0,"1020610"
32,"53672385","貝里斯商雅馬克國際有限公司","新北市汐止區大同路1段239號2樓","陳美滿",1000000,"1020607"
33,"53672391","英屬維京群島商錦鴻資產管理有限公司","臺北市大安區忠孝東路4段107號12樓之6","蔡裕隆",1000000,"1020607"
34,"53672414","欣昌建設有限公司","金門縣金湖鎮溪湖里下湖47號","呂立忠",200000,"1020606"
35,"53672420","金元營造有限公司","金門縣金湖鎮新市里武德新莊自強路16之1號3樓","陳彥良",3000000,"1020607"
36,"53672478","加拿大商捷仕吉有限公司","臺中市北區大雅路45號5樓","李查羅伯特",3000000,"1020610"
37,"53672505","順盛發投資股份有限公司","金門縣金湖鎮新湖里林兜108號","陳雅文",25000000,"1020610"
38,"53672511","香港商勞易測電子有限公司","臺北市中山區成功里敬業二路117號4樓","郝明思",0,"1020610"
39,"53672527","香港商欣諾物流有限公司","臺北市信義區基隆路1段155號7樓","丁裕家",9100000,"1020610"
40,"53672603","香港商創發科技通訊股份有限公司","新竹縣竹北市台元一街5號5樓之18","王博民",147500000,"1020613"
41,"53672619","英商潘尼傑爾股份有限公司","臺北市松山區八德路2段400號6樓之1","慕雷",2800000,"1020613"
42,"53672625","日商三綺所製藥股份有限公司","臺北市中山區南京東路2段137號14樓","早川淳一",0,"1020619"
43,"53672646","馬祖極品酒業有限公司","連江縣南竿鄉馬祖村22號","李木興",1000000,"1020613"
44,"53672688","英屬維京群島商亞斯柏實業股份有限公司","新北市新店區北新路3段207號6樓","黃玉芳",30000000,"1020627"
45,"53672701","香港商日立金屬股份有限公司","臺北市信義區基隆路1段333號24樓","明穗良則",14000000,"1020614"
46,"53672717","金門華茂畜牧股份有限公司","金門縣金城鎮北門里民生路25號12樓之4","董國財",59480000,"1020617"
47,"53672738","馬紹爾群島商可睿思國際有限公司","臺北市內湖區南京東路6段348號12樓之2","蔡可靖",5000000,"1020614"
48,"53672857","英屬維京群島商傳富有限公司","新北市林口區仁愛里公園路203號9樓1至之2","鄭天爵",1000000,"1020617"
49,"53672863","英屬維京群島商宏達國際發展股份有限公司","臺北市中正區寧波西街3號3樓","王維卿",90000000,"1020618"
50,"53672884","霖昌營造有限公司","金門縣金沙鎮浦山里后宅39號","張志裕",3000000,"1020618"
51,"53672890","大陸商廈門燕語林貿易有限公司","臺中市西屯區何成里文心路2段566-1號16樓之5","林宇誠",0,"1020626"
52,"53672907","貝里斯商東雄國際有限公司","臺北市信義區基隆路1段155號5樓之9","陳東伯",20000000,"1020618"
53,"53672929","薩摩亞商金舷有限公司","臺北市信義區基隆路1段163號9樓之2、之3","陳忠偉",0,"1020618"
54,"53672940","模里西斯商酷企鵝國際開發有限公司","臺中市西屯區協和里工業區三十八路148巷11號1樓","廖志賢",150000000,"1020619"
55,"53672955","香港商環信塑料回收有限公司","臺中市西屯區大祥街10號2樓","盧文迪",3000000,"1020619"
56,"53672961","貝里斯商基電力能科技有限公司","新北市永和區忠孝街5之6號","吳碧蓮",1000000,"1020620"
57,"53672982","新加坡商斑馬技術亞太有限公司","臺北市中正區忠孝西路1段33號7樓","李金龍",0,"1020626"
58,"53673005","英屬維京群島商友澧國際室內裝修設計股份有限公司","臺北市內湖區湖元里民權東路6段15巷16號2樓","林如涵",2000000,"1020620"
59,"53673011","丹麥商普雷杰特有限公司","臺北市士林區福港街103號1樓","孫家敏",0,"1020624"
60,"53673053","西班牙商卡夫交通運輸股份有限公司","高雄市苓雅區自強三路3號34樓之7","賈安德",800000,"1020624"
61,"53673069","禾邦營造有限公司","金門縣金城鎮西門里民生路45巷6弄10號","黃延輝",3000000,"1020624"
62,"53673096","新加坡商貓村遊戲有限公司","新北市永和區永和路1段69號3樓","麥怡琳",0,"1020621"
63,"53673119","澳大利亞商誼晟國際股份有限公司","高雄市鼓山區中華一路279號4樓","蘇展和",1000000,"1020624"
64,"53673125","英屬維京群島商浦利德股份有限公司","臺中市西屯區市政北一路128號3樓之2","易昌運",29000000,"1020624"
65,"53673146","香港商宜博企業(香港)有限公司","臺北市內湖區瑞光路513巷32號9樓","鍾詩蕙",0,"1020624"
66,"53673167","伯仲有限公司","連江縣南竿鄉清水村20號","朱志剛",3000000,"1020624"
67,"53673173","程洋國際有限公司","連江縣北竿鄉白沙村11號","陳文涓",5000000,"1020624"
68,"53673188","香港商艾奕康股份有限公司","臺北市信義區信義路5段8號16樓","林家群",10000000,"1020624"
69,"53673194","貝里斯商香榭麗舍國際股份有限公司","臺中市南屯區五權西路2段236號15樓之5","張程凱",500000,"1020624"
70,"53673201","貝里斯商寶家家有限公司","臺北市信義區基隆路1段155號5樓之9","張淳家",1000000,"1020624"
71,"53673217","興益捷資產股份有限公司","臺北市中山區建國北路1段38號11樓","蔡宏宇",500000000,"1020625"
72,"53673223","英屬維京群島商逸諾實業有限公司","臺中市西屯區工業區36路48號2樓","尤瑞柏",100000000,"1020625"
73,"53673238","貝里斯商金優國際有限公司","臺中市沙鹿區鹿寮里賢義街97號1樓","童郁珺",8000000,"1020625"
74,"53673265","薩摩亞商仁澤生技有限公司","臺北市士林區德行西路40號1樓","劉慈娟",5000000,"1020625"
75,"53673309","新加坡商麥偉國際有限公司","臺中市西屯區文心路3段241號19樓之6","黃聖佑",2000000,"1020626"
76,"53673315","香港商太傅禧國際有限公司","臺北市松山區南京東路5段16號9樓之6","倪偉德",0,"1020626"
77,"53673336","香港商亞思博數位媒體股份有限公司","臺北市信義區忠孝東路5段1之3號10樓","陳楚冠",500000,"1020626"
78,"53673342","香港商泰升國際有限公司","臺北市中山區松江路139號9樓之3","鄭貽斌",2500000,"1020627"
79,"53673357","香港商虹柏亞洲有限公司","臺中市西屯區何成里大墩十八街195號3樓之2","趙美芳",126000000,"1020627"
